Brand,Rating,NumRatings,NumReviews,Price,RAM,ROM,Display,Processor,Camera,Warranty
Samsung,4.3,2209,92,12490,4 GB RAM,64 GB ROM,22.1 cm (8.7 Inch) WQXGA Display,Meditek MT8781 (G99),8 MP Primary Camera | 2 MP Front,Apple One (1) Year Limited Warranty
Apple,4.6,17849,920,34900,6GB,128GB,27.69 cm (10.9 inch) Full HD Display,A14 Bionic Chip (64-bit Architecture) with Neural Engine,12 MP Primary Camera | 12 MP Front,1 Year Limited Hardware Warranty
Lenovo,4.3,5315,361,13999,4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
OPPO,4.5,105,6,13999,4.0 GB RAM,128 GB ROM,27.81 cm (10.95 inch) WUXGA+ Display,MediaTek Helio G100,5 MP Primary Camera | 5 MP Front,1 Year Warranty on Handset and 6 Months Warranty on Accessories
OnePlus,4.6,7338,573,37999,8 GB RAM,128 GB ROM,29.49 cm (11.61 inch) Display,Mediatek Dimensity 9000,13 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty
Samsung,4.5,31778,1196,22999,4 GB RAM,64 GB ROM,27.94 cm (11.0 inch) WQXGA Display,Snapdragon 695,8.0 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
OPPO,4.5,105,6,13999,4.0 GB RAM,128 GB ROM,27.81 cm (10.95 inch) WUXGA+ Display,MediaTek Helio G100,5 MP Primary Camera | 5 MP Front,1 Year Warranty on Handset and 6 Months Warranty on Accessories
Baatu,4.1,156,21,8199,4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MediaTek,8 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
Lenovo,4.5,275,30,39999,12 GB RAM,256 GB ROM,22.35 cm (8.8 inch) Display,Qualcomm Snapdragon 8+ Gen 1,13 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
Xiaomi,4.6,14637,1067,29999,6 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Qualcomm Snapdragon 870,13.0 MP Primary Camera | 8 MP Front,Apple One (1) Year Limited Warranty
