Brand,Rating,NumRatings,NumReviews,Price,RAM,ROM,Display,Processor,Camera,Warranty
REDMI,4.4,11806,763,"₹12,999",6 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Full HD Display,Snapdragon 680,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
I,3.3,16,2,"₹9,027",4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
REDMI,4.4,621,50,"₹17,999",8.0 GB RAM,256 GB ROM,27.94 cm (11.0 inch) WQXGA Display,Snapdragon 680,8 Megapixels MP Primary Camera | 5 MP Front,1 Year Brand Warranty
Samsung,4.6,18725,823,"₹54,999",8 GB RAM,128 GB ROM,31.5 cm (12.4 Inch) WQXGA Display,Exynos 1380,8.0 MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase
Samsung,4.6,18725,823,"₹46,999",8 GB RAM,128 GB ROM,31.5 cm (12.4 Inch) WQXGA Display,Exynos 1380,8.0 MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase
OnePlus,4.6,7338,573,"₹39,999",12 GB RAM,256 GB ROM,29.49 cm (11.61 inch) Display,Mediatek Dimensity 9000,13.0 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty
Xiaomi,4.6,14637,1067,"₹41,999",8 GB RAM,256 GB ROM,27.94 cm (11.0 inch) Display,Qualcomm Snapdragon 870,13 MP Primary Camera | 8 MP Front,
OPPO,4.5,105,6,"₹16,999",8.0 GB RAM,128 GB ROM,27.81 cm (10.95 inch) WUXGA+ Display,MediaTek Helio G100,5 MP Primary Camera | 5 MP Front,1 Year Warranty on Handset and 6 Months Warranty on Accessories
realme,4.4,6379,516,"₹24,999",8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) 2K Display,Helio G99 Chipset,8 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Samsung,4.5,31778,1196,"₹14,999",4 GB RAM,64 GB ROM,27.94 cm (11.0 inch) WQXGA Display,QUALCOMM SM6375,8.0 MP Primary Camera | 5 MP Front,
Xiaomi,4.5,846,64,"₹30,999",12 GB RAM,256 GB ROM,28.37 cm (11.17 inch) WQXGA+ Display,Snapdragon 7+ Gen 3,13.0 MP Primary Camera | 8 MP Front,1 Year Brand Warranty
Xiaomi,4.5,846,64,"₹27,999",8 GB RAM,128 GB ROM,28.37 cm (11.17 inch) WQXGA+ Display,Snapdragon 7+ Gen 3,13.0 MP Primary Camera | 8 MP Front,1 Year Brand Warranty
